age,sex,race_ethnicity,household_income,n
36,1,2,above_median,1
36,1,2,below_median,1
36,1,3,above_median,1
36,1,3,below_median,1
36,1,4,above_median,1
36,1,4,below_median,1
36,1,5,above_median,1
36,1,5,below_median,1
36,2,1,above_median,1
36,2,1,below_median,1
36,2,2,above_median,1
36,2,2,below_median,1
36,2,3,above_median,1
36,2,3,below_median,1
36,2,4,above_median,1
36,2,4,below_median,1
36,2,5,above_median,1
36,2,5,below_median,1
37,1,1,above_median,1
37,1,1,below_median,1
37,1,2,above_median,1
37,1,2,below_median,1
37,1,3,above_median,1
37,1,3,below_median,1
37,1,4,above_median,1
37,1,4,below_median,1
37,1,5,above_median,1
37,1,5,below_median,1
37,2,1,above_median,1
37,2,1,below_median,1
37,2,2,above_median,1
37,2,2,below_median,1
37,2,3,above_median,1
37,2,3,below_median,1
37,2,4,above_median,1
37,2,4,below_median,1
37,2,5,above_median,1
37,2,5,below_median,1
38,1,1,above_median,1
38,1,1,below_median,1
38,1,2,above_median,1
38,1,2,below_median,1
38,1,3,above_median,1
38,1,3,below_median,1
38,1,4,above_median,1
38,1,4,below_median,1
38,1,5,above_median,1
38,1,5,below_median,1
38,2,1,above_median,1
38,2,1,below_median,1
38,2,2,above_median,1
38,2,2,below_median,1
38,2,3,above_median,1
38,2,3,below_median,1
38,2,4,above_median,1
38,2,4,below_median,1
38,2,5,above_median,1
38,2,5,below_median,1
39,1,1,above_median,1
39,1,1,below_median,1
39,1,2,above_median,1
39,1,2,below_median,1
39,1,3,above_median,1
39,1,3,below_median,1
39,1,4,above_median,1
39,1,4,below_median,1
39,1,5,above_median,1
39,1,5,below_median,1
39,2,1,above_median,1
39,2,1,below_median,1
39,2,2,above_median,1
39,2,2,below_median,1
39,2,3,above_median,1
39,2,3,below_median,1
39,2,4,above_median,1
39,2,4,below_median,1
39,2,5,above_median,1
39,2,5,below_median,1
40,1,1,above_median,1
40,1,1,below_median,1
40,1,2,above_median,1
40,1,2,below_median,1
40,1,3,above_median,1
40,1,3,below_median,1
40,1,4,above_median,1
40,1,4,below_median,1
40,1,5,above_median,1
40,1,5,below_median,1
40,2,1,above_median,1
40,2,1,below_median,1
40,2,2,above_median,1
40,2,2,below_median,1
40,2,3,above_median,1
40,2,3,below_median,1
40,2,4,above_median,1
40,2,4,below_median,1
40,2,5,above_median,1
40,2,5,below_median,1
41,1,1,above_median,1
41,1,1,below_median,1
41,1,2,above_median,1
41,1,2,below_median,1
41,1,3,above_median,1
41,1,3,below_median,1
41,1,4,above_median,1
41,1,4,below_median,1
41,1,5,above_median,1
41,1,5,below_median,1
41,2,1,above_median,1
41,2,1,below_median,1
41,2,2,above_median,1
41,2,2,below_median,1
41,2,3,above_median,1
41,2,3,below_median,1
41,2,4,above_median,1
41,2,4,below_median,1
41,2,5,above_median,1
41,2,5,below_median,1
42,1,1,above_median,1
42,1,1,below_median,1
42,1,2,above_median,1
42,1,2,below_median,1
42,1,3,above_median,1
42,1,3,below_median,1
42,1,4,above_median,1
42,1,4,below_median,1
42,1,5,above_median,1
42,1,5,below_median,1
42,2,1,above_median,1
42,2,1,below_median,1
42,2,2,above_median,1
42,2,2,below_median,1
42,2,3,above_median,1
42,2,3,below_median,1
42,2,4,above_median,1
42,2,4,below_median,1
42,2,5,above_median,1
42,2,5,below_median,1
43,1,1,above_median,1
43,1,1,below_median,1
43,1,2,above_median,1
43,1,2,below_median,1
43,1,3,above_median,1
43,1,3,below_median,1
43,1,4,above_median,1
43,1,4,below_median,1
43,1,5,above_median,1
43,1,5,below_median,1
43,2,1,above_median,1
43,2,1,below_median,1
43,2,2,above_median,1
43,2,2,below_median,1
43,2,3,above_median,1
43,2,3,below_median,1
43,2,4,above_median,1
43,2,4,below_median,1
43,2,5,above_median,1
43,2,5,below_median,1
44,1,1,above_median,1
44,1,1,below_median,1
44,1,2,above_median,1
44,1,2,below_median,1
44,1,3,above_median,1
44,1,3,below_median,1
44,1,4,above_median,1
44,1,4,below_median,1
44,1,5,above_median,1
44,1,5,below_median,1
44,2,1,above_median,1
44,2,1,below_median,1
44,2,2,above_median,1
44,2,2,below_median,1
44,2,3,above_median,1
44,2,3,below_median,1
44,2,4,above_median,1
44,2,4,below_median,1
44,2,5,above_median,1
44,2,5,below_median,1
45,1,1,above_median,1
45,1,1,below_median,1
45,1,2,above_median,1
45,1,2,below_median,1
45,1,3,above_median,1
45,1,3,below_median,1
45,1,4,above_median,1
45,1,4,below_median,1
45,1,5,above_median,1
45,1,5,below_median,1
45,2,1,above_median,1
45,2,1,below_median,1
45,2,2,above_median,1
45,2,2,below_median,1
45,2,3,above_median,1
45,2,3,below_median,1
45,2,4,above_median,1
45,2,4,below_median,1
45,2,5,above_median,1
45,2,5,below_median,1
46,1,1,above_median,1
46,1,1,below_median,1
46,1,2,above_median,1
46,1,2,below_median,1
46,1,3,above_median,1
46,1,3,below_median,1
46,1,4,above_median,1
46,1,4,below_median,1
46,1,5,above_median,1
46,1,5,below_median,1
46,2,1,above_median,1
46,2,1,below_median,1
46,2,2,above_median,1
46,2,2,below_median,1
46,2,3,above_median,1
46,2,3,below_median,1
46,2,4,above_median,1
46,2,4,below_median,1
46,2,5,above_median,1
46,2,5,below_median,1
47,1,1,above_median,1
47,1,1,below_median,1
47,1,2,above_median,1
47,1,2,below_median,1
47,1,3,above_median,1
47,1,3,below_median,1
47,1,4,above_median,1
47,1,4,below_median,1
47,1,5,above_median,1
47,1,5,below_median,1
47,2,1,above_median,1
47,2,1,below_median,1
47,2,2,above_median,1
47,2,2,below_median,1
47,2,3,above_median,1
47,2,3,below_median,1
47,2,4,above_median,1
47,2,4,below_median,1
47,2,5,above_median,1
47,2,5,below_median,1
48,1,1,above_median,1
48,1,1,below_median,1
48,1,2,above_median,1
48,1,2,below_median,1
48,1,3,above_median,1
48,1,3,below_median,1
48,1,4,above_median,1
48,1,4,below_median,1
48,1,5,above_median,1
48,1,5,below_median,1
48,2,1,above_median,1
48,2,1,below_median,1
48,2,2,above_median,1
48,2,2,below_median,1
48,2,3,above_median,1
48,2,3,below_median,1
48,2,4,above_median,1
48,2,4,below_median,1
48,2,5,above_median,1
48,2,5,below_median,1
49,1,1,above_median,1
49,1,1,below_median,1
49,1,2,above_median,1
49,1,2,below_median,1
49,1,3,above_median,1
49,1,3,below_median,1
49,1,4,above_median,1
49,1,4,below_median,1
49,1,5,above_median,1
49,1,5,below_median,1
49,2,1,above_median,1
49,2,1,below_median,1
49,2,2,above_median,1
49,2,2,below_median,1
49,2,3,above_median,1
49,2,3,below_median,1
49,2,4,above_median,1
49,2,4,below_median,1
49,2,5,above_median,1
49,2,5,below_median,1
50,1,1,above_median,1
50,1,1,below_median,1
50,1,2,above_median,1
50,1,2,below_median,1
50,1,3,above_median,1
50,1,3,below_median,1
50,1,4,above_median,1
50,1,4,below_median,1
50,1,5,above_median,1
50,1,5,below_median,1
50,2,1,above_median,1
50,2,1,below_median,1
50,2,2,above_median,1
50,2,2,below_median,1
50,2,3,above_median,1
50,2,3,below_median,1
50,2,4,above_median,1
50,2,4,below_median,1
50,2,5,above_median,1
50,2,5,below_median,1
51,1,1,above_median,1
51,1,1,below_median,1
51,1,2,above_median,1
51,1,2,below_median,1
51,1,3,above_median,1
51,1,3,below_median,1
51,1,4,above_median,1
51,1,4,below_median,1
51,1,5,above_median,1
51,1,5,below_median,1
51,2,1,above_median,1
51,2,1,below_median,1
51,2,2,above_median,1
51,2,2,below_median,1
51,2,3,above_median,1
51,2,3,below_median,1
51,2,4,above_median,1
51,2,4,below_median,1
51,2,5,above_median,1
51,2,5,below_median,1
52,1,1,above_median,1
52,1,1,below_median,1
52,1,2,above_median,1
52,1,2,below_median,1
52,1,3,above_median,1
52,1,3,below_median,1
52,1,4,above_median,1
52,1,4,below_median,1
52,1,5,above_median,1
52,1,5,below_median,1
52,2,1,above_median,1
52,2,1,below_median,1
52,2,2,above_median,1
52,2,2,below_median,1
52,2,3,above_median,1
52,2,3,below_median,1
52,2,4,above_median,1
52,2,4,below_median,1
52,2,5,above_median,1
52,2,5,below_median,1
53,1,1,above_median,1
53,1,1,below_median,1
53,1,2,above_median,1
53,1,2,below_median,1
53,1,3,above_median,1
53,1,3,below_median,1
53,1,4,above_median,1
53,1,4,below_median,1
53,1,5,above_median,1
53,1,5,below_median,1
53,2,1,above_median,1
53,2,1,below_median,1
53,2,2,above_median,1
53,2,2,below_median,1
53,2,3,above_median,1
53,2,3,below_median,1
53,2,4,above_median,1
53,2,4,below_median,1
53,2,5,above_median,1
53,2,5,below_median,1
54,1,1,above_median,1
54,1,1,below_median,1
54,1,2,above_median,1
54,1,2,below_median,1
54,1,3,above_median,1
54,1,3,below_median,1
54,1,4,above_median,1
54,1,4,below_median,1
54,1,5,above_median,1
54,1,5,below_median,1
54,2,1,above_median,1
54,2,1,below_median,1
54,2,2,above_median,1
54,2,2,below_median,1
54,2,3,above_median,1
54,2,3,below_median,1
54,2,4,above_median,1
54,2,4,below_median,1
54,2,5,above_median,1
54,2,5,below_median,1
55,1,1,above_median,1
55,1,1,below_median,1
55,1,2,above_median,1
55,1,2,below_median,1
55,1,3,above_median,1
55,1,3,below_median,1
55,1,4,above_median,1
55,1,4,below_median,1
55,1,5,above_median,1
55,1,5,below_median,1
55,2,1,above_median,1
55,2,1,below_median,1
55,2,2,above_median,1
55,2,2,below_median,1
55,2,3,above_median,1
55,2,3,below_median,1
55,2,4,above_median,1
55,2,4,below_median,1
55,2,5,above_median,1
55,2,5,below_median,1
56,1,1,above_median,1
56,1,1,below_median,1
56,1,2,above_median,1
56,1,2,below_median,1
56,1,3,above_median,1
56,1,3,below_median,1
56,1,4,above_median,1
56,1,4,below_median,1
56,1,5,above_median,1
56,1,5,below_median,1
56,2,1,above_median,1
56,2,1,below_median,1
56,2,2,above_median,1
56,2,2,below_median,1
56,2,3,above_median,1
56,2,3,below_median,1
56,2,4,above_median,1
56,2,4,below_median,1
56,2,5,above_median,1
56,2,5,below_median,1
57,1,1,above_median,1
57,1,1,below_median,1
57,1,2,above_median,1
57,1,2,below_median,1
57,1,3,above_median,1
57,1,3,below_median,1
57,1,4,above_median,1
57,1,4,below_median,1
57,1,5,above_median,1
57,1,5,below_median,1
57,2,1,above_median,1
57,2,1,below_median,1
57,2,2,above_median,1
57,2,2,below_median,1
57,2,3,above_median,1
57,2,3,below_median,1
57,2,4,above_median,1
57,2,4,below_median,1
57,2,5,above_median,1
57,2,5,below_median,1
58,1,1,above_median,1
58,1,1,below_median,1
58,1,2,above_median,1
58,1,2,below_median,1
58,1,3,above_median,1
58,1,3,below_median,1
58,1,4,above_median,1
58,1,4,below_median,1
58,1,5,above_median,1
58,1,5,below_median,1
58,2,1,above_median,1
58,2,1,below_median,1
58,2,2,above_median,1
58,2,2,below_median,1
58,2,3,above_median,1
58,2,3,below_median,1
58,2,4,above_median,1
58,2,4,below_median,1
58,2,5,above_median,1
58,2,5,below_median,1
59,1,1,above_median,1
59,1,1,below_median,1
59,1,2,above_median,1
59,1,2,below_median,1
59,1,3,above_median,1
59,1,3,below_median,1
59,1,4,above_median,1
59,1,4,below_median,1
59,1,5,above_median,1
59,1,5,below_median,1
59,2,1,above_median,1
59,2,1,below_median,1
59,2,2,above_median,1
59,2,2,below_median,1
59,2,3,above_median,1
59,2,3,below_median,1
59,2,4,above_median,1
59,2,4,below_median,1
59,2,5,above_median,1
59,2,5,below_median,1
60,1,1,above_median,1
60,1,1,below_median,1
60,1,2,above_median,1
60,1,2,below_median,1
60,1,3,above_median,1
60,1,3,below_median,1
60,1,4,above_median,1
60,1,4,below_median,1
60,1,5,above_median,1
